date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:51	7332/7332	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202019%2006:05:17%20GMT	http://demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.56.delayed	(from http://demo4.sxzywl.net/themes/haixin/public/assets/css/bootstrap.min.css)
14:07:51	7332/7332	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202019%2006:05:17%20GMT	http://demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.57.delayed	(from http://demo4.sxzywl.net/themes/haixin/public/assets/css/bootstrap.min.css)
14:07:51	7332/7332	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Jul%202019%2006:05:17%20GMT	http://demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/fonts/glyphicons-halflings-regular.58.delayed	(from http://demo4.sxzywl.net/themes/haixin/public/assets/css/bootstrap.min.css)
14:07:52	55875/55875	---M--	200	added ('OK')	text/css	etag:%22da43-5846cb69696d0%22	http://demo4.sxzywl.net/themes/haixin/public/assets/css/animate.css	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/css/animate.css	(from http://demo4.sxzywl.net/portal/list/about/id/25.html?tid=3)
14:07:58	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%22169d5-5846cb6c66ce8%22	http://demo4.sxzywl.net/themes/haixin/public/assets/js/jquery-1.9.1.min.js	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/js/jquery-1.9.1.min.js	(from http://demo4.sxzywl.net/)
14:08:14	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/about/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/about/id/www.zoyuan.5c.delayed	(from http://demo4.sxzywl.net/portal/list/about/id/25.html?tid=3)
14:08:14	1288/1288	---M--	200	added ('OK')	image/png	etag:%22508-5846cb6b56970%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/index_14.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/index_14.png	(from http://demo4.sxzywl.net/portal/list/video/id/24.html?tid=3&cid=24)
14:08:15	1293/1293	---M--	200	added ('OK')	image/png	etag:%2250d-5846cb6b59c38%22	http://demo4.sxzywl.net/themes/haixin/public/assets/images/index_17.png	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/images/index_17.png	(from http://demo4.sxzywl.net/portal/list/video/id/24.html?tid=3&cid=24)
14:08:15	936/936	---M-Z	404	error ('Not%20Found')	text/html	etag:%223a8-5858ebc722240-gzip%22	https://demo4.sxzywl.net/portal/list/video/id/www.zoyuan.net	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/portal/list/video/id/www.zoyuan.5f.delayed	(from http://demo4.sxzywl.net/portal/list/video/id/24.html?tid=3&cid=24)
14:08:35	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%229004-5846cb6c44a08%22	http://demo4.sxzywl.net/themes/haixin/public/assets/js/bootstrap.min.js	C:/Users/Lion/Desktop/zczl/zczl/demo4.sxzywl.net/themes/haixin/public/assets/js/bootstrap.min.js	(from http://demo4.sxzywl.net/portal/list/video/id/24.html?tid=3&cid=24)
